alpha,Experimental,Panel Method
-17.2794,-1.2532299999999998,-1.9260147233785883
-16.2296,-1.34704,-1.8222774433265436
-15.8616,-1.54416,-1.7853266516471098
-15.1713,-1.51805,-1.7152240424847764
-14.3133,-1.44038,-1.6267073835611148
-13.2811,-1.3712,-1.5182929238340444
-12.2535,-1.25912,-1.4084037192684746
-11.2222,-1.18135,-1.296297281202746
-10.1947,-1.0692700000000002,-1.1829332698526402
-8.14138,-0.827958,-0.9519794379703593
-6.25579,-0.638207,-0.7355569175827983
-5.228219999999999,-0.5261279999999999,-0.6162140024700254
-4.19972,-0.42262700000000003,-0.4959693214171855
-1.96944,-0.215533,-0.2332339541363015
0.0,0.0,1.0111923885031127e-11
0.9400059999999999,0.120611,0.11138939658597977
1.96944,0.215533,0.23323395415652323
2.99515,0.34476999999999997,0.3543384248749391
3.85131,0.43959899999999996,0.4550830664612209
4.8788800000000005,0.551678,0.5754530505747398
5.90831,0.6466,0.695298523090312
7.96346,0.870758,0.9317199618180755
10.1891,1.12074,1.1823111198742962
11.0471,1.19842,1.277092375462611
13.1088,1.3625200000000002,1.5000000452198063
16.3759,1.59591,1.8368841974871604
16.5678,1.4244299999999999,1.855971016646655
17.2971,1.0902399999999999,1.9277419886482086
